Posted,Details,Money In,Money Out,Balance
05/06/2026,TRF HARBORVIEW HOTELS LTD INV-2041,4250.00,,18420.11
08/06/2026,FASTPAY SETTLEMENT KESTREL LOGISTICS INV-2042,1818.24,,20238.35
09/06/2026,CARD SETTLEMENT BLUEPINE CAFE GROUP,620.80,,20859.15
12/06/2026,TRF HARBORVIEW HOTELS LTD INV-2044,1200.00,,22059.15
12/06/2026,DD NORTHGATE DENTAL RETAINER,950.00,,23009.15
16/06/2026,FASTPAY SETTLEMENT KESTREL LOGISTICS INV-2046,1818.24,,24827.39
17/06/2026,WIRE SABLE AND MOORE LLP INV-2047,3400.00,,28227.39
18/06/2026,CARD SETTLEMENT BLUEPINE CAFE GROUP,620.80,,28848.19
22/06/2026,TRF VANTAGE FITNESS INV-2049,2100.00,,30948.19
24/06/2026,TRF HARBORVIEW HOTELS LTD INV-2051,4250.00,,35198.19
26/06/2026,TRF ORCHARD SUPPLY CO INV-2052,1340.75,,36538.94
26/06/2026,STRIPE PAYOUT BATCH 88231,5925.00,,42463.94
29/06/2026,TRF ORCHARD SUPPLY CO INV-2052,1340.75,,43804.69
30/06/2026,MERCHANT SVC FEE JUNE,,184.20,43620.49
02/07/2026,TRF MERIDIAN CLINIC CLAIMS PART 1,2800.00,,46420.49
03/07/2026,CARD SETTLEMENT BLUEPINE CAFE GROUP,620.80,,47041.29
06/07/2026,TRF MERIDIAN CLINIC CLAIMS PART 2,2800.00,,49841.29
07/07/2026,DD NORTHGATE DENTAL RETAINER,950.00,,50791.29
08/07/2026,INBOUND TRF UNKNOWN REF 99412,780.00,,51571.29
